,Unnamed: 0,City,Client Group,Contact Method,Country,Date Closed,Language,Month,Organization,Postal/Zip Code,Prog. Area,Program,Prov/State,Reason for Enquiry,Resolution,SRT #,SRT Status,Sector,Topic
74,74,,Individual,Telephone,Canada,2019-01-31,English,Jan,"Innovation, Science and Economic Development Canada",,"Incorporate a Business
NUANS",Corporations Canada (CC),Ontario,"Requires Expert Information
Requires Information on a Procedure",Partial Resolution + Internal,499077,Closed,Small Business Tourism and Marketplace Services,Corporations
79,79,,Not-for-profit Corporations,Telephone,Canada,2019-01-31,English,Jan,"Innovation, Science and Economic Development Canada",,Changes Regarding Directors,Corporations Canada (CC),Ontario,"Requires Expert Information
Requires Navigational Aid",Partial Resolution + Internal,499175,Closed,Small Business Tourism and Marketplace Services,Corporations
80,80,,Individual,Telephone,Canada,2019-01-31,English,Jan,"Innovation, Science and Economic Development Canada",,,Other,Manitoba,Requires Information on a Procedure,Completed,499172,Closed,,Innovation
82,82,,Company,Telephone,Canada,2019-01-31,English,Jan,"Innovation, Science and Economic Development Canada",,Password,IC Registration,British Columbia,Problem (Non-Technical),Completed,499179,Closed,Communications and Marketing Branch,Innovation
84,84,,Individual,Telephone,Canada,2019-01-31,English,Jan,"Innovation, Science and Economic Development Canada",,Other,Corporations Canada (CC),Québec,Requires Contact Information,Completed,499182,Closed,Small Business Tourism and Marketplace Services,Corporations
105,105,,Individual,Telephone,Canada,2019-01-31,English,Jan,"Innovation, Science and Economic Development Canada
Provincial Government",,Other,"Corporations Canada (CC)
Manitoba",Manitoba,Requires Information on a Procedure,Referral (External),499040,Closed,Small Business Tourism and Marketplace Services,Corporations
110,110,,Company,Telephone,Canada,2019-01-31,English,Jan,"Innovation, Science and Economic Development Canada",,Changes Regarding Directors,Corporations Canada (CC),Ontario,"Requires Expert Information
Requires Information on a Procedure",Referral (Internal),499075,Closed,Small Business Tourism and Marketplace Services,Corporations
116,116,,Individual,Telephone,Canada,2019-01-31,English,Jan,"Innovation, Science and Economic Development Canada",,File an Annual Return,Corporations Canada (CC),Ontario,"Requires Expert Information
Requires Information on a Procedure",Partial Resolution + Internal,499065,Closed,Small Business Tourism and Marketplace Services,Corporations
119,119,,Individual,Telephone,Canada,2019-01-31,English,Jan,"Innovation, Science and Economic Development Canada",,,Connecting Families,Ontario,Requires Contact Information,Completed,499063,Closed,Digital Transformation Service Sector,Corporations
136,136,,Individual,Telephone,Canada,2019-01-31,French,Jan,"Innovation, Science and Economic Development Canada",,NUANS,Corporations Canada (CC),Québec,Requires Information on a Procedure,Completed,492349,Closed,Small Business Tourism and Marketplace Services,Corporations
137,137,,Individual,Telephone,Canada,2019-01-31,French,Jan,"Innovation, Science and Economic Development Canada",,Computer Order,Connecting Families,,Requires Information on a Procedure,Completed,492230,Closed,Digital Transformation Service Sector,Innovation
167,167,,Individual,Telephone,Canada,2019-01-31,English,Jan,"Innovation, Science and Economic Development Canada",,"No ISP
Comment - ISP",Connecting Families,,Requires Expert Information,Referral (Internal),492141,Closed,Digital Transformation Service Sector,Innovation
236,236,,Individual,Telephone,Canada,2019-01-31,French,Jan,"Innovation, Science and Economic Development Canada",,Computer Order,Connecting Families,Québec,Status Update,Completed,491788,Closed,Digital Transformation Service Sector,Innovation
247,247,,Individual,Telephone,Canada,2019-01-31,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Ontario,Status Update,Completed,491920,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
292,292,,Individual,Telephone,Canada,2019-01-31,English,Jan,"Innovation, Science and Economic Development Canada",,NUANS,Corporations Canada (CC),,Requires Expert Information,Completed,492115,Closed,Small Business Tourism and Marketplace Services,Corporations
312,312,,Individual,Telephone,Canada,2019-01-31,English,Jan,"Innovation, Science and Economic Development Canada",,Prime Minister's Awards,Spectrum Management and Telecommunications,Alberta,Requires Information on a Procedure,Completed,491683,Closed,Spectrum Information Technologies and Telecommunications,Other
316,316,,Individual,Telephone,Canada,2019-01-31,English,Jan,"Innovation, Science and Economic Development Canada",,Password,IC Registration,,Problem (Non-Technical),Completed,491764,Closed,Communications and Marketing Branch,Innovation
317,317,,Company,Telephone,Canada,2019-01-31,English,Jan,"Innovation, Science and Economic Development Canada",,Dissolve a Corporation,Corporations Canada (CC),Ontario,Requires Information on a Procedure,Completed,491686,Closed,Small Business Tourism and Marketplace Services,Corporations
362,362,Dorchester,Individual,Telephone,Canada,2019-01-31,English,Jan,"Innovation, Science and Economic Development Canada",E4K2X6,Other,Connecting Families,New Brunswick,Other,Completed,491559,Closed,Digital Transformation Service Sector,Other
396,396,,Professional Services,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Other,Corporations Canada (CC),Québec,"Requires Information on a Procedure
Requires Navigational Aid",Completed,498955,Closed,Small Business Tourism and Marketplace Services,Corporations
400,400,,Individual,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Incorporate a Business,Corporations Canada (CC),Ontario,"Requires Contact Information
Requires Expert Information",Partial Resolution + Internal,498832,Closed,Small Business Tourism and Marketplace Services,Corporations
402,402,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,"NUANS
Other",Corporations Canada (CC),Alberta,Requires Expert Information,Referral (Internal),498948,Closed,Small Business Tourism and Marketplace Services,Corporations
418,418,,Individual,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Password,IC Registration,,Problem (Non-Technical),Completed,498848,Closed,Communications and Marketing Branch,Other
421,421,,Company,Telephone,Canada,2019-01-30,English,Jan,Provincial Government,,,Ontario,Ontario,Requires Expert Information,Completed,498894,Closed,,Corporations
427,427,,Company,Telephone,Canada,2019-01-30,French,Jan,"Innovation, Science and Economic Development Canada",,Password,IC Registration,Ontario,Problem (Non-Technical),Completed,498872,Closed,Communications and Marketing Branch,Other
435,435,,Individual,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,,Other,Alberta,Requires Contact Information,Completed,498910,Closed,,Other
439,439,,Individual,Telephone,Canada,2019-01-30,French,Jan,"Innovation, Science and Economic Development Canada
Provincial Government",,Other,"Corporations Canada (CC)
Quebec",,"Requires Information on a Procedure
Requires Expert Information",Partial Resolution + External,498858,Closed,"Small Business Tourism and Marketplace Services
",Corporations
440,440,,Entrepreneur,Telephone,Canada,2019-01-30,English,Jan,"Federal Government
Innovation, Science and Economic Development Canada",,,"Health Canada (HC)
Innovation Canada Platform",Québec,"Requires Expert Information
Requires Information on a Procedure",Partial Resolution + External,498920,Closed,Innovation Canada,Innovation
441,441,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Obtain Corporation Documents,Corporations Canada (CC),Ontario,"Obtain Official Document
Requires Expert Information
Requires Navigational Aid",Partial Resolution + Internal,498918,Closed,Small Business Tourism and Marketplace Services,Corporations
447,447,,Individual,Telephone,Canada,2019-01-30,English,Jan,Federal Government,,,Financial Consumer Agency of Canada (FCAC),,Requires Expert Information,Referral (External),498860,Closed,,Other
449,449,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Change of Registered Office Address,Corporations Canada (CC),Ontario,Requires Expert Information,Completed,498869,Closed,Small Business Tourism and Marketplace Services,Corporations
457,457,,Company,Telephone,Canada,2019-01-30,French,Jan,"Innovation, Science and Economic Development Canada",,Change of Registered Office Address,Corporations Canada (CC),,Requires Navigational Aid,Completed,498853,Closed,Small Business Tourism and Marketplace Services,Corporations
464,464,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,"File an Annual Return
Revive a Corporation",Corporations Canada (CC),Ontario,"Requires Expert Information
Status Update",Partial Resolution + Internal,498826,Closed,Small Business Tourism and Marketplace Services,Corporations
476,476,,Individual,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,,Innovative Solutions Canada,Ontario,Requires Expert Information,Referral (Internal),498809,Closed,Innovation Canada,Innovation
484,484,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,,Innovative Solutions Canada,,Requires Expert Information,Completed,498812,Closed,Innovation Canada,Innovation
490,490,,Individual,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,NUANS,Corporations Canada (CC),Alberta,Requires Expert Information,Referral (Internal),499020,Closed,Small Business Tourism and Marketplace Services,Corporations
493,493,,Individual,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Other,Corporations Canada (CC),Ontario,Other,Partial Resolution + Internal,499029,Closed,Small Business Tourism and Marketplace Services,Corporations
497,497,,Professional Services,Telephone,Canada,2019-01-30,French,Jan,"Innovation, Science and Economic Development Canada",,"File an Annual Return
Revive a Corporation",Corporations Canada (CC),Québec,Requires Information on a Procedure,Completed,499028,Closed,Small Business Tourism and Marketplace Services,Corporations
498,498,,Company,Telephone,Unknown,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,,Canadian Importers Database (CID),,Requires Information on a Procedure,Completed,499027,Closed,Small Business Tourism and Marketplace Services,Corporations
499,499,,Not-for-profit Corporations,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Other,Corporations Canada (CC),Ontario,"Requires Expert Information
Requires Information on a Procedure",Partial Resolution + Internal,499009,Closed,Small Business Tourism and Marketplace Services,Corporations
502,502,,Individual,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,,Unknown,Ontario,Requires Contact Information,Completed,499006,Closed,,Other
503,503,,Company,Telephone,Canada,2019-01-30,English,Jan,"Provincial Government
Innovation, Science and Economic Development Canada",,NUANS,"British Columbia
Corporations Canada (CC)",British Columbia,Requires Expert Information,Referral (External),499008,Closed,Small Business Tourism and Marketplace Services,Corporations
509,509,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,,Innovative Solutions Canada,Ontario,Requires Expert Information,Completed,499015,Closed,Innovation Canada,Innovation
522,522,,Entrepreneur,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,"Incorporate a Business
Pre-Approve a Corporate Name",Corporations Canada (CC),British Columbia,"Requires Expert Information
Requires Information on a Procedure",Partial Resolution + Internal,498906,Closed,Small Business Tourism and Marketplace Services,Corporations
523,523,,Company,Telephone,Canada,2019-01-30,French,Jan,"Innovation, Science and Economic Development Canada",,Stream 4,Strategic Innovation Fund,Québec,Status Update,Referral (Internal),497507,Closed,Innovation Canada,Innovation
524,524,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Stream 1,Strategic Innovation Fund,Ontario,Requires Expert Information,Referral (Internal),497134,Closed,Innovation Canada,Innovation
527,527,,Company,Telephone,Canada,2019-01-30,French,Jan,"Innovation, Science and Economic Development Canada",,Corporation Key,Corporations Canada (CC),Québec,"Payment of Fees
Requires Information on a Procedure",Completed,498926,Closed,Small Business Tourism and Marketplace Services,Corporations
532,532,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,,Innovative Solutions Canada,Ontario,"Requires Expert Information
Status Update",Referral (Internal),495443,Closed,Innovation Canada,Innovation
534,534,,Individual,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Connect to Innovate,Spectrum Management and Telecommunications,Ontario,"Requires Contact Information
Requires Expert Information",Referral (Internal),498989,Closed,Spectrum Information Technologies and Telecommunications,Corporations
539,539,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Not Applicable,Strategic Innovation Fund,Québec,Requires Expert Information,Referral (Internal),491823,Closed,Innovation Canada,Innovation
541,541,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,"Stream 1
Stream 2
Stream 3
Stream 4",Strategic Innovation Fund,Québec,Requires Information on a Procedure,Completed,498882,Closed,Innovation Canada,Innovation
555,555,,Company,Telephone,Canada,2019-01-30,French,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Québec,"Requires Expert Information
Requires Navigational Aid",Completed,486695,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
556,556,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Ontario,Requires Expert Information,Completed,488401,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
557,557,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Ontario,"Requires Expert Information
Requires Navigational Aid",Referral (Internal),487373,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
558,558,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Québec,Requires Information on a Procedure,Completed,488041,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
559,559,,Company,Telephone,Canada,2019-01-30,French,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Québec,Requires Information on a Procedure,Completed,488126,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
560,560,,Company,Telephone,Canada,2019-01-30,French,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Québec,Status Update,Completed,488124,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
561,561,,Company,Telephone,Unknown,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",,"Request for Publication
Requires Navigational Aid",Referral (Internal),486481,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
562,562,,Company,Telephone,Canada,2019-01-30,French,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Québec,Requires Expert Information,Referral (Internal),486782,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
563,563,,Individual,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",British Columbia,"Requires Expert Information
Requires Navigational Aid",Partial Resolution + Internal,486997,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
564,564,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",,"Requires Information on a Procedure
Requires Expert Information",Partial Resolution + Internal,487188,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
565,565,,Company,Telephone,Canada,2019-01-30,French,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Québec,Requires Information on a Procedure,Completed,487320,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
566,566,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Ontario,Other,Completed,487633,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
567,567,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Ontario,Requires Information on a Procedure,Completed,487855,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
568,568,,Company,Telephone,Canada,2019-01-30,French,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Québec,Requires Expert Information,Referral (Internal),487853,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
569,569,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",British Columbia,Requires Information on a Procedure,Completed,488328,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
570,570,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",,Requires Expert Information,Referral (Internal),487163,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
571,571,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Northwest Territories,Requires Expert Information,Referral (Internal),487017,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
572,572,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Alberta,Requires Expert Information,Referral (Internal),487635,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
573,573,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",British Columbia,Requires Information on a Procedure,Completed,487857,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
574,574,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Québec,Requires Expert Information,Referral (Internal),487861,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
575,575,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",British Columbia,Requires Information on a Procedure,Completed,488106,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
576,576,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Alberta,Requires Information on a Procedure,Completed,488222,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
577,577,,Individual,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Ontario,Requires Information on a Procedure,Completed,488236,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
578,578,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Manitoba,Requires Information on a Procedure,Completed,488324,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
579,579,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Ontario,"Other
Problem (Non-Technical)",Completed,488346,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
580,580,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Ontario,Requires Information on a Procedure,Completed,488330,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
581,581,,Individual,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",British Columbia,Requires Expert Information,Completed,486614,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
582,582,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",,"Requires Information on a Procedure
Requires Expert Information",Partial Resolution + Internal,487199,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
583,583,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Ontario,"Requires Contact Information
Requires Information on a Procedure",Completed,487422,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
584,584,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Saskatchewan,Requires Information on a Procedure,Completed,487859,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
585,585,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Ontario,Other,Completed,488209,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
586,586,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Manitoba,Requires Expert Information,Completed,486341,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
587,587,,Individual,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Ontario,Requires Expert Information,Referral (Internal),486800,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
588,588,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Ontario,Requires Expert Information,Referral (Internal),486815,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
589,589,,Individual,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Alberta,"Requires Expert Information
Requires Navigational Aid
Requires Information on a Procedure",Partial Resolution + Internal,486856,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
590,590,,Health Institution,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",British Columbia,Requires Expert Information,Partial Resolution + Internal,486999,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
591,591,,Individual,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",New Brunswick,"Requires Expert Information
Requires Contact Information",Referral (Internal),486894,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
592,592,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Ontario,Requires Expert Information,Referral (Internal),487202,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
593,593,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Saskatchewan,"Other
Problem (Non-Technical)",Completed,487107,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
594,594,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Manitoba,"Requires Expert Information
Requires Information on a Procedure",Referral (Internal),487279,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
595,595,,Individual,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",British Columbia,"Requires Expert Information
Requires Information on a Procedure",Referral (External),487347,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
596,596,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Manitoba,Requires Information on a Procedure,Completed,487328,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
597,597,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Manitoba,Requires Expert Information,Referral (Internal),487316,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
598,598,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Ontario,"Requires Expert Information
Requires Navigational Aid
Requires Information on a Procedure",Referral (Internal),487319,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
599,599,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",British Columbia,"Status Update
Requires Expert Information",Referral (Internal),488419,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
